EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
7.298,8.865,3.066,4.327,7.250,3.265,6.625,6.954,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4867.000,0.000
5.326,9.483,8.443,8.831,7.547,1.587,4.905,7.530,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4868.000,0.000
3.239,8.043,9.694,9.168,6.855,1.780,4.977,8.202,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4869.000,0.000
2.467,6.405,7.361,6.993,5.926,2.141,5.664,7.946,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4870.000,0.000
4.496,8.299,5.941,6.775,7.869,5.073,8.560,8.692,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4871.000,0.000
6.415,10.680,7.162,8.583,9.732,6.836,9.772,9.311,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4872.000,0.000
4.960,8.940,8.670,9.263,7.738,3.679,6.527,8.008,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4873.000,0.000
2.741,6.203,8.268,8.252,5.506,1.312,4.645,6.992,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4874.000,0.000
3.740,7.434,7.079,7.878,7.246,4.545,7.935,8.217,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4875.000,0.000
6.046,10.092,7.248,8.925,9.643,7.659,10.507,9.297,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4876.000,0.000
5.557,9.264,8.359,9.626,8.362,5.296,7.944,8.143,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4877.000,0.000
3.454,6.717,8.503,9.096,6.063,2.399,5.436,6.926,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4878.000,0.000
3.626,7.047,7.681,8.684,6.952,4.448,7.635,7.771,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4879.000,0.000
5.541,9.234,7.513,9.302,9.097,7.521,10.296,8.866,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4880.000,0.000
5.696,9.159,8.235,9.939,8.591,6.312,8.820,8.141,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4881.000,0.000
4.099,7.215,8.526,9.705,6.699,3.737,6.492,7.026,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4882.000,0.000
3.780,6.951,8.022,9.333,6.917,4.722,7.660,7.465,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4883.000,0.000
5.124,8.459,7.763,9.652,8.539,7.240,9.906,8.380,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4884.000,0.000
5.606,8.795,8.167,10.162,8.538,6.877,9.267,8.001,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4885.000,0.000
4.575,7.528,8.444,10.121,7.194,4.926,7.431,7.107,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4886.000,0.000
4.054,7.005,8.180,9.844,7.034,5.220,7.893,7.265,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4887.000,0.000
4.845,7.853,7.948,9.963,8.086,7.030,9.548,7.935,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4888.000,0.000
5.399,8.294,8.118,10.311,8.310,7.134,9.408,7.765,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4889.000,0.000
4.866,7.622,8.300,10.374,7.493,5.856,8.145,7.119,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4890.000,0.000
4.359,7.105,8.193,10.213,7.211,5.818,8.228,7.129,-0.048,0.936,-0.427,-0.916,1.129,1.099,80.000,4891.000,0.000
4.131,6.229,6.034,8.852,7.234,6.852,9.215,7.061,-0.052,0.932,-0.427,0.122,1.282,1.068,80.000,4892.000,1.000
2.749,2.128,-2.158,3.664,5.685,7.251,9.307,5.154,-0.051,0.933,-0.427,0.153,1.251,1.129,80.000,4893.000,1.000
1.397,-3.386,-13.337,-3.024,3.494,7.595,8.973,2.750,-0.052,0.934,-0.428,0.244,1.282,1.129,80.000,4894.000,1.000
2.855,-4.651,-15.938,-3.762,2.822,7.322,7.985,2.822,-0.052,0.934,-0.431,0.183,1.251,1.129,80.000,4895.000,1.000
5.412,-2.133,-8.564,1.418,2.626,4.265,4.576,4.210,-0.053,0.935,-0.430,0.214,1.099,1.038,80.000,4896.000,1.000
6.552,0.499,-3.390,4.850,2.954,2.696,2.310,4.629,-0.050,0.935,-0.433,0.305,1.160,1.068,80.000,4897.000,1.000
7.248,3.049,-5.799,3.937,5.773,8.055,6.360,5.147,-0.050,0.935,-0.430,0.214,1.160,0.946,80.000,4898.000,1.000
6.388,3.716,-9.198,1.723,7.779,13.992,11.496,5.446,-0.049,0.935,-0.431,0.244,0.977,1.038,80.000,4899.000,1.000
2.081,-0.238,-9.127,-0.322,4.533,11.475,8.861,3.225,-0.047,0.935,-0.430,0.244,0.946,1.007,80.000,4900.000,1.000
-1.621,-4.835,-8.446,-2.601,-0.176,4.438,1.687,0.176,-0.048,0.935,-0.433,0.275,0.916,0.946,80.000,4901.000,1.000
-0.938,-4.846,-9.930,-4.558,-0.692,1.794,-0.416,-0.173,-0.051,0.936,-0.434,0.244,0.946,0.916,80.000,4902.000,1.000
0.602,-4.002,-12.407,-5.279,0.050,2.143,1.816,1.009,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4903.000,1.000
-0.468,-8.335,-13.582,-4.974,-3.483,-1.324,0.324,0.243,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4904.000,0.000
-2.058,-14.621,-11.975,-3.797,-9.074,-7.830,-5.266,-1.943,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4905.000,0.000
-2.252,-16.438,-8.011,-1.705,-11.490,-11.911,-9.226,-2.879,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4906.000,0.000
-2.055,-14.670,-5.397,-0.440,-10.656,-12.072,-9.622,-2.539,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4907.000,0.000
-1.826,-13.120,-7.044,-1.452,-8.805,-9.441,-7.360,-2.006,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4908.000,0.000
-1.055,-12.074,-9.434,-2.446,-7.033,-6.148,-4.178,-1.278,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4909.000,0.000
-0.540,-11.225,-7.589,-0.876,-6.662,-5.796,-3.576,-0.739,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4910.000,0.000
-0.968,-11.277,-3.861,1.243,-7.731,-8.273,-5.952,-1.024,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4911.000,0.000
-1.227,-11.342,-3.868,0.891,-7.725,-8.539,-6.543,-1.335,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4912.000,0.000
-0.473,-10.072,-6.394,-0.442,-5.745,-5.220,-3.482,-0.661,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4913.000,0.000
0.249,-8.553,-5.906,0.370,-4.432,-3.307,-1.397,0.228,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4914.000,0.000
0.017,-8.423,-2.655,2.400,-5.201,-5.099,-3.026,0.161,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4915.000,0.000
