EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
0.821,3.760,4.306,-1.514,2.650,2.166,0.699,1.177,-0.048,0.935,-0.425,0.275,0.977,0.793,80.000,9147.000,0.000
1.489,5.017,3.142,-1.824,3.890,4.168,2.387,1.461,-0.048,0.935,-0.425,0.275,0.977,0.793,80.000,9148.000,0.000
2.008,5.778,3.413,-1.122,4.545,4.735,2.663,1.632,-0.048,0.935,-0.425,0.275,0.977,0.793,80.000,9149.000,0.000
1.239,4.704,4.076,-0.722,3.593,3.166,1.174,1.405,-0.048,0.935,-0.425,0.275,0.977,0.793,80.000,9150.000,0.000
0.404,3.763,3.586,-1.231,2.882,2.506,0.627,1.196,-0.048,0.935,-0.425,0.275,0.977,0.793,80.000,9151.000,0.000
0.635,4.370,2.679,-1.581,3.538,3.724,1.644,1.308,-0.048,0.935,-0.425,0.275,0.977,0.793,80.000,9152.000,0.000
1.100,5.121,2.689,-1.138,4.217,4.456,2.110,1.474,-0.048,0.935,-0.425,0.275,0.977,0.793,80.000,9153.000,0.000
0.741,4.633,3.113,-0.749,3.790,3.611,1.266,1.403,-0.048,0.935,-0.425,0.275,0.977,0.793,80.000,9154.000,0.000
0.058,3.811,2.843,-1.034,3.150,2.928,0.679,1.231,-0.048,0.935,-0.425,0.275,0.977,0.793,80.000,9155.000,0.000
-0.021,3.920,2.211,-1.344,3.347,3.494,1.131,1.213,-0.048,0.935,-0.425,0.275,0.977,0.793,80.000,9156.000,0.000
0.280,4.477,2.104,-1.099,3.875,4.124,1.543,1.323,-0.048,0.935,-0.425,0.275,0.977,0.793,80.000,9157.000,0.000
0.195,4.401,2.300,-0.781,3.826,3.830,1.200,1.358,-0.048,0.935,-0.425,0.275,0.977,0.793,80.000,9158.000,0.000
-0.264,3.834,2.118,-0.907,3.390,3.335,0.766,1.260,-0.048,0.935,-0.425,0.275,0.977,0.793,80.000,9159.000,0.000
-1.823,2.785,0.036,-2.823,2.047,2.743,-0.037,0.018,-0.043,0.935,-0.426,-0.305,1.312,1.373,80.000,9160.000,1.000
-6.386,0.145,-7.000,-9.513,-1.941,1.036,-2.455,-4.074,-0.044,0.935,-0.422,-0.427,1.404,1.526,80.000,9161.000,1.000
-11.072,-2.526,-16.345,-18.384,-5.713,0.249,-3.818,-8.073,-0.045,0.934,-0.426,-0.488,1.434,1.678,80.000,9162.000,1.000
-10.602,-2.282,-18.091,-20.154,-4.208,2.672,-0.894,-6.367,-0.047,0.933,-0.426,-0.458,1.495,1.740,80.000,9163.000,1.000
-8.373,-0.898,-10.987,-13.609,-0.159,4.753,2.607,-0.961,-0.049,0.933,-0.427,-0.427,1.404,1.770,80.000,9164.000,1.000
-9.981,-0.522,-6.444,-8.194,1.830,4.547,3.749,2.327,-0.052,0.932,-0.430,-0.549,1.373,1.678,80.000,9165.000,1.000
-12.738,0.298,-10.737,-9.497,2.660,5.682,5.081,3.106,-0.055,0.933,-0.429,-0.427,1.251,1.587,80.000,9166.000,1.000
-14.400,-0.093,-17.893,-15.128,0.722,6.368,4.144,1.452,-0.057,0.933,-0.428,-0.183,1.099,1.373,80.000,9167.000,1.000
-17.185,-5.045,-21.237,-21.094,-7.170,0.717,-3.731,-4.375,-0.059,0.934,-0.427,-0.153,0.946,1.190,80.000,9168.000,1.000
-18.957,-10.378,-21.337,-24.306,-15.254,-7.187,-12.192,-10.599,-0.056,0.938,-0.431,-0.122,0.763,0.824,80.000,9169.000,1.000
-15.618,-8.915,-21.272,-23.175,-15.045,-7.312,-10.937,-10.839,-0.054,0.938,-0.431,-0.183,0.519,0.580,80.000,9170.000,1.000
-10.725,-3.431,-20.985,-19.586,-9.458,-1.129,-2.371,-6.374,-0.051,0.940,-0.427,-0.244,0.397,0.458,80.000,9171.000,1.000
-10.732,-2.942,-19.001,-16.796,-7.494,0.918,2.217,-3.218,-0.048,0.938,-0.426,-0.214,0.336,0.305,80.000,9172.000,1.000
-13.893,-6.667,-15.780,-14.807,-8.845,-1.535,-0.239,-2.308,-0.046,0.941,-0.427,-0.244,0.275,0.214,80.000,9173.000,1.000
-14.751,-6.148,-13.759,-12.508,-7.072,0.360,-2.491,-1.196,-0.042,0.941,-0.428,-0.427,0.427,0.275,80.000,9174.000,1.000
-14.966,-1.915,-14.728,-11.778,-3.561,5.719,-1.343,-0.793,-0.040,0.943,-0.430,-0.519,0.519,0.214,80.000,9175.000,1.000
-18.035,-1.250,-16.671,-13.384,-4.072,5.549,-1.374,-2.529,-0.040,0.943,-0.430,-0.519,0.519,0.214,80.000,9176.000,0.000
-20.696,-3.986,-15.530,-13.858,-7.050,0.322,-3.692,-3.792,-0.040,0.943,-0.430,-0.519,0.519,0.214,80.000,9177.000,0.000
-20.056,-5.804,-11.037,-11.412,-8.283,-3.280,-5.442,-2.983,-0.040,0.943,-0.430,-0.519,0.519,0.214,80.000,9178.000,0.000
-19.081,-6.618,-7.615,-9.038,-8.553,-4.587,-6.819,-2.617,-0.040,0.943,-0.430,-0.519,0.519,0.214,80.000,9179.000,0.000
-19.192,-6.479,-8.707,-9.290,-8.468,-4.276,-7.454,-3.447,-0.040,0.943,-0.430,-0.519,0.519,0.214,80.000,9180.000,0.000
-18.137,-4.292,-11.724,-10.530,-6.521,-1.268,-5.231,-3.165,-0.040,0.943,-0.430,-0.519,0.519,0.214,80.000,9181.000,0.000
-16.320,-2.679,-11.262,-9.963,-4.664,0.882,-2.824,-1.814,-0.040,0.943,-0.430,-0.519,0.519,0.214,80.000,9182.000,0.000
-16.261,-4.284,-7.633,-8.027,-5.742,-1.578,-4.338,-1.761,-0.040,0.943,-0.430,-0.519,0.519,0.214,80.000,9183.000,0.000
-16.922,-6.169,-6.278,-7.490,-7.006,-4.207,-6.695,-2.585,-0.045,0.934,-0.423,-1.648,0.977,0.977,80.000,9184.000,1.000
-14.945,-4.539,-7.971,-8.772,-3.537,-0.743,-3.527,-1.156,-0.047,0.931,-0.424,-1.648,0.916,0.824,80.000,9185.000,1.000
-9.731,0.734,-7.746,-8.553,4.656,7.599,5.093,3.174,-0.049,0.929,-0.427,-1.678,0.977,0.946,80.000,9186.000,1.000
-3.401,8.285,-3.380,-4.122,13.130,14.785,12.665,7.471,-0.048,0.927,-0.425,-1.556,0.946,0.793,80.000,9187.000,1.000
1.796,14.807,2.506,2.378,17.810,17.445,14.007,9.330,-0.047,0.928,-0.424,-1.465,1.068,0.732,80.000,9188.000,1.000
4.088,15.144,6.322,5.871,17.289,16.535,9.976,8.534,-0.046,0.925,-0.424,-1.465,1.068,0.732,80.000,9189.000,1.000
3.677,9.434,5.623,4.135,13.450,14.521,6.175,6.342,-0.047,0.924,-0.425,-1.251,1.007,0.610,80.000,9190.000,1.000
2.316,3.651,0.719,-0.422,9.671,13.334,6.723,4.687,-0.048,0.926,-0.423,-1.190,0.946,0.458,80.000,9191.000,1.000
-0.841,-0.290,-5.574,-4.955,5.724,11.486,7.821,3.170,-0.048,0.923,-0.420,-1.038,0.916,0.458,80.000,9192.000,1.000
-6.319,-4.286,-10.312,-8.514,-0.594,6.270,3.953,-0.069,-0.048,0.924,-0.422,-0.885,0.946,0.427,80.000,9193.000,1.000
-9.551,-6.329,-12.386,-10.768,-6.651,1.375,-1.490,-3.653,-0.047,0.923,-0.423,-0.793,0.916,0.305,80.000,9194.000,1.000
-7.567,-4.650,-12.985,-11.732,-8.255,2.224,-2.797,-4.873,-0.048,0.923,-0.421,-0.641,0.885,0.305,80.000,9195.000,1.000
-4.180,-2.337,-12.749,-10.921,-6.197,6.446,-1.154,-3.624,-0.046,0.926,-0.420,-0.549,1.038,0.275,80.000,9196.000,1.000
-4.374,-1.877,-11.036,-8.154,-3.743,8.458,0.467,-1.483,-0.045,0.926,-0.421,-0.488,0.885,0.305,80.000,9197.000,1.000
-8.492,-2.070,-9.006,-6.052,-2.136,7.523,1.719,-0.161,-0.043,0.927,-0.425,-0.366,1.068,0.549,80.000,9198.000,1.000
-11.349,-0.995,-7.756,-6.110,-0.072,6.790,3.041,0.028,-0.042,0.926,-0.425,-0.244,1.129,0.580,80.000,9199.000,1.000
-7.605,1.186,-5.508,-5.148,3.805,7.934,4.854,0.684,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9200.000,1.000
0.788,3.157,-1.222,-1.054,8.275,9.579,7.003,2.712,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9201.000,0.000
6.486,4.056,3.209,3.498,10.483,9.656,7.909,4.741,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9202.000,0.000
5.613,2.435,6.291,5.653,8.689,6.570,5.537,4.849,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9203.000,0.000
1.470,-1.306,7.683,5.291,4.823,1.790,1.209,3.145,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9204.000,0.000
0.168,-2.164,6.430,3.703,3.994,1.184,0.426,2.116,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9205.000,0.000
3.133,1.833,3.774,2.953,7.480,6.101,4.503,3.248,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9206.000,0.000
5.374,4.236,3.828,4.252,9.506,8.472,6.541,4.520,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9207.000,0.000
3.442,0.982,6.710,5.728,6.661,4.092,2.874,3.745,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9208.000,0.000
1.036,-1.845,7.473,5.099,4.096,0.749,-0.035,2.373,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9209.000,0.000
2.333,0.850,4.926,3.724,6.205,4.132,2.653,2.773,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9210.000,0.000
4.777,4.002,3.796,4.210,8.846,7.649,5.549,4.012,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9211.000,0.000
4.101,2.168,5.961,5.719,7.326,5.034,3.394,3.797,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9212.000,0.000
1.912,-0.755,7.347,5.685,4.731,1.442,0.359,2.635,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9213.000,0.000
2.244,0.596,5.693,4.504,5.661,3.153,1.669,2.615,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9214.000,0.000
4.251,3.435,4.296,4.523,7.993,6.404,4.301,3.563,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9215.000,0.000
4.299,2.744,5.552,5.694,7.449,5.251,3.347,3.651,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9216.000,0.000
2.641,0.341,6.944,5.966,5.340,2.234,0.833,2.813,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9217.000,0.000
2.435,0.740,6.115,5.135,5.481,2.737,1.177,2.586,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9218.000,0.000
3.862,2.914,4.876,4.930,7.217,5.237,3.171,3.206,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9219.000,0.000
4.275,2.944,5.410,5.718,7.264,5.035,2.982,3.420,-0.043,0.927,-0.426,-0.153,1.221,0.610,80.000,9220.000,0.000
3.031,1.323,6.822,6.067,5.946,3.191,1.536,3.177,-0.046,0.940,-0.427,0.000,1.068,1.038,80.000,9221.000,1.000
2.108,1.502,7.622,5.331,6.226,4.497,2.654,3.855,-0.048,0.940,-0.424,-0.153,1.007,1.007,80.000,9222.000,1.000
2.759,3.862,7.054,4.106,8.224,9.403,6.004,4.867,-0.047,0.939,-0.425,-0.275,1.160,1.007,80.000,9223.000,1.000
4.086,6.348,4.110,2.515,9.824,14.093,8.336,3.881,-0.044,0.938,-0.423,-0.305,1.068,0.977,80.000,9224.000,1.000
4.691,7.614,0.512,0.718,10.347,15.402,8.716,1.593,-0.044,0.936,-0.426,-0.397,1.099,0.977,80.000,9225.000,1.000
3.961,5.771,0.436,-0.181,9.529,12.393,7.068,0.332,-0.043,0.934,-0.426,-0.519,1.129,0.885,80.000,9226.000,1.000
2.253,0.333,3.145,-0.148,7.613,8.323,3.609,-0.939,-0.041,0.936,-0.425,-0.549,1.251,0.977,80.000,9227.000,1.000
2.355,-3.164,4.072,-0.216,7.894,9.331,2.538,-2.587,-0.041,0.936,-0.426,-0.580,1.282,1.068,80.000,9228.000,1.000
7.024,0.186,3.856,0.123,12.235,14.984,7.188,-1.190,-0.040,0.937,-0.427,-0.580,1.434,1.160,80.000,9229.000,1.000
13.235,5.828,6.721,1.915,16.321,17.489,12.758,3.228,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9230.000,1.000
15.675,7.123,12.163,4.616,16.199,14.281,13.358,6.094,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9231.000,0.000
14.171,4.678,16.099,6.803,13.758,10.349,10.474,5.982,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9232.000,0.000
11.959,2.281,16.902,7.509,11.998,8.921,8.165,4.991,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9233.000,0.000
11.061,1.782,15.495,6.925,11.634,9.615,7.660,4.165,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9234.000,0.000
11.691,3.229,13.435,6.215,12.342,11.040,8.451,3.793,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9235.000,0.000
12.541,4.698,12.852,6.312,12.900,10.966,9.141,4.397,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9236.000,0.000
11.983,3.995,14.192,6.937,12.048,8.934,8.306,5.116,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9237.000,0.000
10.520,2.274,14.833,7.134,10.682,7.756,6.726,4.541,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9238.000,0.000
10.142,2.404,13.255,6.705,10.596,8.829,6.439,3.451,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9239.000,0.000
10.935,3.995,11.804,6.431,11.346,9.553,7.277,3.619,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9240.000,0.000
11.012,4.206,12.464,6.737,11.116,8.174,7.222,4.563,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9241.000,0.000
9.898,2.829,13.407,7.068,9.959,6.828,5.968,4.437,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9242.000,0.000
9.183,2.350,12.536,6.911,9.472,7.294,5.227,3.390,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9243.000,0.000
9.575,3.397,11.135,6.604,9.885,7.926,5.625,3.175,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9244.000,0.000
9.840,3.970,11.204,6.658,9.926,7.101,5.863,3.948,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9245.000,0.000
9.165,3.186,11.947,6.930,9.182,6.040,5.141,4.137,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9246.000,0.000
8.422,2.526,11.584,6.963,8.582,6.114,4.320,3.340,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9247.000,0.000
8.438,2.988,10.508,6.739,8.615,6.432,4.253,2.897,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9248.000,0.000
8.669,3.588,10.214,6.629,8.693,5.918,4.493,3.394,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9249.000,0.000
8.350,3.331,10.614,6.774,8.323,5.231,4.232,3.744,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9250.000,0.000
7.738,2.752,10.529,6.911,7.793,5.143,3.551,3.241,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9251.000,0.000
7.486,2.754,9.837,6.809,7.531,5.139,3.138,2.713,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9252.000,0.000
7.571,3.181,9.396,6.619,7.505,4.730,3.215,2.930,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9253.000,0.000
7.485,3.295,9.449,6.622,7.398,4.371,3.267,3.313,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9254.000,0.000
7.078,2.944,9.449,6.785,7.040,4.295,2.840,3.077,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9255.000,0.000
6.684,2.658,9.103,6.806,6.604,4.045,2.239,2.576,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9256.000,0.000
6.579,2.814,8.679,6.606,6.407,3.601,2.078,2.561,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9257.000,0.000
6.603,3.124,8.452,6.482,6.438,3.470,2.283,2.882,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9258.000,0.000
6.413,3.056,8.399,6.613,6.288,3.510,2.144,2.852,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9259.000,0.000
5.992,2.653,8.310,6.731,5.799,3.126,1.505,2.453,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9260.000,0.000
5.708,2.524,8.012,6.572,5.421,2.572,1.106,2.276,-0.038,0.937,-0.426,-0.641,1.526,1.160,80.000,9261.000,0.000
4.563,1.796,5.789,4.961,3.653,0.985,-0.776,0.642,-0.046,0.936,-0.426,-0.336,0.732,1.007,80.000,9262.000,1.000
-1.021,-3.011,-1.924,-0.981,-4.356,-5.605,-9.579,-7.052,-0.047,0.936,-0.425,-0.366,0.671,1.038,80.000,9263.000,1.000
-11.840,-12.152,-13.697,-10.763,-17.952,-16.530,-23.765,-19.399,-0.046,0.936,-0.423,-0.427,0.732,1.007,80.000,9264.000,1.000
-21.403,-18.402,-22.720,-18.820,-26.412,-22.116,-31.037,-26.646,-0.046,0.936,-0.422,-0.427,0.763,0.916,80.000,9265.000,1.000
-23.724,-16.569,-26.716,-22.117,-23.807,-17.876,-26.449,-25.102,-0.045,0.935,-0.426,-0.427,0.671,0.977,80.000,9266.000,1.000
-21.054,-11.983,-26.300,-21.352,-17.578,-12.913,-20.131,-20.884,-0.045,0.934,-0.425,-0.427,0.824,1.038,80.000,9267.000,1.000
-18.692,-12.129,-20.961,-17.569,-15.912,-15.452,-21.048,-18.672,-0.046,0.932,-0.426,-0.427,0.763,1.129,80.000,9268.000,1.000
-17.276,-15.080,-15.547,-14.032,-17.241,-20.211,-25.333,-18.438,-0.048,0.933,-0.426,-0.336,0.702,0.977,80.000,9269.000,1.000
-14.742,-13.653,-15.647,-12.957,-15.088,-17.362,-23.351,-17.740,-0.048,0.932,-0.426,-0.397,0.824,1.038,80.000,9270.000,1.000
-12.027,-8.563,-16.690,-11.057,-8.718,-8.728,-14.222,-13.837,-0.047,0.931,-0.424,-0.305,0.763,0.977,80.000,9271.000,1.000
-11.202,-7.240,-12.236,-6.641,-4.546,-5.021,-7.340,-8.428,-0.046,0.931,-0.423,-0.275,0.763,0.977,80.000,9272.000,1.000
-11.819,-10.739,-7.087,-4.425,-5.831,-8.080,-7.713,-6.184,-0.046,0.932,-0.428,-0.275,0.702,0.885,80.000,9273.000,1.000
-12.160,-12.632,-8.619,-6.551,-7.645,-9.406,-9.338,-6.938,-0.047,0.931,-0.427,-0.244,0.732,0.763,80.000,9274.000,1.000
-10.406,-9.427,-12.403,-7.853,-5.730,-6.641,-7.063,-6.568,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9275.000,1.000
-6.611,-4.478,-10.256,-5.027,-3.079,-6.436,-4.614,-4.637,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9276.000,0.000
-4.031,-2.421,-4.369,-1.444,-3.672,-11.104,-6.298,-4.005,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9277.000,0.000
-4.677,-4.110,-1.262,-0.354,-6.743,-16.205,-10.453,-5.323,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9278.000,0.000
-6.315,-6.689,-1.251,-0.886,-9.111,-18.193,-13.171,-6.527,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9279.000,0.000
-6.072,-6.527,-1.977,-1.271,-8.226,-15.899,-11.845,-5.829,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9280.000,0.000
-4.314,-3.584,-2.818,-0.973,-4.940,-11.472,-7.855,-3.968,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9281.000,0.000
-3.521,-2.073,-2.689,-0.146,-3.770,-10.629,-6.645,-3.370,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9282.000,0.000
-4.314,-3.907,-1.015,0.549,-6.190,-14.212,-9.727,-4.435,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9283.000,0.000
-4.704,-5.274,-0.028,0.509,-7.542,-15.401,-11.282,-4.774,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9284.000,0.000
-3.639,-3.359,-1.122,0.267,-5.079,-11.443,-8.160,-3.360,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9285.000,0.000
-2.646,-1.266,-1.917,0.735,-2.885,-8.789,-5.572,-2.287,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9286.000,0.000
-2.939,-2.161,-0.565,1.564,-4.325,-11.279,-7.494,-2.906,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9287.000,0.000
-3.383,-3.691,0.817,1.754,-6.105,-13.397,-9.652,-3.491,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9288.000,0.000
-2.752,-2.657,0.173,1.474,-4.651,-10.769,-7.747,-2.551,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9289.000,0.000
-1.852,-0.714,-0.779,1.710,-2.440,-7.809,-5.060,-1.441,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9290.000,0.000
-1.837,-0.909,0.057,2.442,-3.007,-9.051,-5.894,-1.675,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9291.000,0.000
-2.173,-2.187,1.385,2.755,-4.624,-11.169,-7.899,-2.244,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9292.000,0.000
-1.822,-1.771,1.176,2.550,-3.959,-9.726,-6.976,-1.684,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9293.000,0.000
-1.102,-0.217,0.342,2.644,-2.091,-7.058,-4.657,-0.699,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9294.000,0.000
-0.911,0.030,0.764,3.228,-2.043,-7.325,-4.699,-0.652,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9295.000,0.000
-1.091,-0.861,1.868,3.593,-3.272,-9.042,-6.255,-1.097,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9296.000,0.000
-0.902,-0.814,1.963,3.485,-3.128,-8.454,-5.996,-0.807,-0.046,0.931,-0.425,-0.275,0.732,0.641,80.000,9297.000,0.000
0.255,0.880,1.188,3.440,-1.445,-5.920,-4.501,-0.324,-0.047,0.931,-0.423,-0.183,1.007,0.885,80.000,9298.000,1.000
3.155,4.190,0.867,3.504,0.329,-3.440,-4.943,-1.444,-0.046,0.932,-0.424,-0.153,1.038,0.916,80.000,9299.000,1.000
6.856,8.663,2.039,3.161,1.713,-1.022,-6.876,-3.868,-0.046,0.934,-0.422,-0.183,1.038,0.916,80.000,9300.000,1.000
8.214,11.310,5.146,2.838,2.000,0.035,-7.793,-4.955,-0.045,0.934,-0.424,-0.153,1.190,1.007,80.000,9301.000,1.000
7.058,10.309,8.261,3.273,1.089,-1.658,-7.439,-3.305,-0.046,0.934,-0.423,-0.092,1.251,0.977,80.000,9302.000,1.000
7.098,9.678,8.158,4.001,2.134,-1.346,-4.282,0.618,-0.047,0.935,-0.425,-0.061,1.282,0.916,80.000,9303.000,1.000
8.917,12.413,5.611,4.389,6.423,4.850,2.492,5.093,-0.045,0.933,-0.425,-0.275,1.312,0.946,80.000,9304.000,1.000
7.425,13.297,4.084,3.802,8.250,10.045,5.806,6.016,-0.046,0.934,-0.423,-0.336,1.282,0.977,80.000,9305.000,1.000
-0.482,7.693,3.052,1.138,3.896,8.045,1.007,1.884,-0.046,0.937,-0.424,-0.305,1.373,0.946,80.000,9306.000,1.000
-9.333,1.258,-0.347,-2.877,-0.585,5.120,-3.022,-1.404,-0.046,0.938,-0.422,-0.305,1.343,1.038,80.000,9307.000,1.000
-11.566,0.957,-4.620,-5.172,0.452,7.552,1.445,0.783,-0.048,0.937,-0.421,-0.305,1.343,0.916,80.000,9308.000,1.000
-7.319,4.034,-5.138,-3.795,3.277,10.305,6.973,4.248,-0.047,0.936,-0.423,-0.336,1.343,0.977,80.000,9309.000,1.000
-1.996,4.872,-1.433,-0.733,2.873,7.697,4.224,3.326,-0.047,0.934,-0.425,-0.366,1.404,1.007,80.000,9310.000,1.000
1.339,4.708,1.567,-0.051,1.246,4.149,-2.033,-0.683,-0.047,0.935,-0.426,-0.336,1.373,1.007,80.000,9311.000,1.000
2.783,6.984,1.117,-2.175,2.641,6.042,-1.713,-1.873,-0.047,0.936,-0.425,-0.458,1.343,1.099,80.000,9312.000,1.000
3.037,9.742,0.488,-3.040,6.200,10.706,4.399,2.120,-0.048,0.934,-0.425,-0.427,1.251,1.068,80.000,9313.000,1.000
3.643,9.650,2.830,-0.230,8.407,12.317,8.888,7.592,-0.046,0.934,-0.421,-0.397,1.343,0.916,80.000,9314.000,1.000
6.879,8.671,6.832,4.456,9.694,12.481,10.807,10.904,-0.047,0.934,-0.423,-0.458,1.343,0.946,80.000,9315.000,1.000
12.682,10.887,10.407,8.717,13.192,16.074,14.788,12.959,-0.047,0.935,-0.424,-0.458,1.373,1.007,80.000,9316.000,1.000
17.912,15.937,13.586,11.967,18.549,21.367,21.722,16.307,-0.048,0.934,-0.427,-0.519,1.404,1.007,80.000,9317.000,1.000
19.352,19.006,15.696,13.571,21.260,22.049,25.510,19.704,-0.048,0.934,-0.427,-0.549,1.343,1.007,80.000,9318.000,1.000
16.911,16.888,15.391,12.902,18.519,16.840,20.405,18.563,-0.048,0.934,-0.427,-0.549,1.343,1.007,80.000,9319.000,0.000
13.482,11.525,14.340,11.472,12.705,10.013,9.601,12.688,-0.048,0.934,-0.427,-0.549,1.343,1.007,80.000,9320.000,0.000
11.644,7.269,13.885,10.734,8.499,5.668,1.987,7.753,-0.048,0.934,-0.427,-0.549,1.343,1.007,80.000,9321.000,0.000
12.469,7.841,12.311,10.126,9.242,7.097,3.107,7.642,-0.048,0.934,-0.427,-0.549,1.343,1.007,80.000,9322.000,0.000
14.766,12.249,10.620,9.900,13.318,12.769,9.765,10.610,-0.048,0.934,-0.427,-0.549,1.343,1.007,80.000,9323.000,0.000
14.835,13.577,11.900,10.849,14.197,13.813,12.093,12.138,-0.048,0.934,-0.427,-0.549,1.343,1.007,80.000,9324.000,0.000
11.927,9.168,13.953,11.491,9.915,7.600,6.489,10.130,-0.048,0.934,-0.427,-0.549,1.343,1.007,80.000,9325.000,0.000
10.491,6.205,12.571,10.443,7.238,4.248,2.139,7.704,-0.048,0.934,-0.427,-0.549,1.343,1.007,80.000,9326.000,0.000
12.517,9.352,9.868,9.441,10.115,9.011,5.953,8.516,-0.048,0.934,-0.427,-0.549,1.343,1.007,80.000,9327.000,0.000
13.804,12.340,10.437,10.217,12.638,12.574,10.545,10.722,-0.048,0.934,-0.427,-0.549,1.343,1.007,80.000,9328.000,0.000
11.668,9.567,12.691,11.197,9.907,8.252,7.651,10.224,-0.048,0.934,-0.427,-0.549,1.343,1.007,80.000,9329.000,0.000
9.675,6.010,12.099,10.496,6.618,3.790,2.670,7.841,-0.048,0.934,-0.427,-0.549,1.343,1.007,80.000,9330.000,0.000
10.833,7.557,9.632,9.385,8.000,6.487,4.144,7.583,-0.048,0.934,-0.427,-0.549,1.343,1.007,80.000,9331.000,0.000
